date,description,amount
2023-07-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-07-05,DIGITALOCEAN DROPLET,-12.00
2023-07-07,OPENAI API USAGE,-30.00
2023-07-10,O2 MOBILE UK,-18.00
2023-07-27,TRANSFER TO SAVINGS,-350.00
2023-08-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-08-10,TECHFLOW SOLUTIONS INVOICE,2400.00
2023-08-02,GITHUB SUBSCRIPTION,-4.00
2023-08-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-08-05,DIGITALOCEAN DROPLET,-12.00
2023-08-07,OPENAI API USAGE,-30.00
2023-08-10,O2 MOBILE UK,-18.00
2023-08-14,AMAZON WEB SERVICES,-52.00
2023-08-27,TRANSFER TO SAVINGS,-500.00
2023-09-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2023-09-02,GITHUB SUBSCRIPTION,-4.00
2023-09-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-09-05,DIGITALOCEAN DROPLET,-12.00
2023-09-07,OPENAI API USAGE,-30.00
2023-09-10,O2 MOBILE UK,-18.00
2023-09-14,AMAZON WEB SERVICES,-55.00
2023-09-15,HMRC SELF ASSESSMENT,-900.00
2023-09-22,SAGEACCOUNTING.COM,-15.00
2023-09-27,TRANSFER TO SAVINGS,-350.00
2023-10-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2023-10-10,TECHFLOW SOLUTIONS INVOICE,2400.00
2023-10-02,GITHUB SUBSCRIPTION,-4.00
2023-10-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-10-05,DIGITALOCEAN DROPLET,-12.00
2023-10-07,OPENAI API USAGE,-35.00
2023-10-10,O2 MOBILE UK,-18.00
2023-10-14,AMAZON WEB SERVICES,-55.00
2023-10-27,TRANSFER TO SAVINGS,-550.00
2023-11-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2023-11-02,GITHUB SUBSCRIPTION,-4.00
2023-11-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-11-05,DIGITALOCEAN DROPLET,-12.00
2023-11-07,OPENAI API USAGE,-35.00
2023-11-10,O2 MOBILE UK,-18.00
2023-11-14,AMAZON WEB SERVICES,-58.00
2023-11-27,TRANSFER TO SAVINGS,-450.00
2023-12-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2023-12-10,TECHFLOW SOLUTIONS INVOICE,2400.00
2023-12-02,GITHUB SUBSCRIPTION,-4.00
2023-12-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-12-05,DIGITALOCEAN DROPLET,-12.00
2023-12-07,OPENAI API USAGE,-35.00
2023-12-10,O2 MOBILE UK,-18.00
2023-12-15,AMAZON WEB SERVICES,-60.00
2023-12-15,HMRC SELF ASSESSMENT,-2000.00
2023-12-22,SAGEACCOUNTING.COM,-15.00
2023-12-27,TRANSFER TO SAVINGS,-550.00
2024-01-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2024-01-02,GITHUB SUBSCRIPTION,-4.00
2024-01-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-01-05,DIGITALOCEAN DROPLET,-15.00
2024-01-07,OPENAI API USAGE,-40.00
2024-01-10,O2 MOBILE UK,-18.00
2024-01-14,AMAZON WEB SERVICES,-65.00
2024-01-27,TRANSFER TO SAVINGS,-450.00
2024-02-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2024-02-10,TECHFLOW SOLUTIONS INVOICE,2600.00
2024-02-02,GITHUB SUBSCRIPTION,-4.00
2024-02-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-02-05,DIGITALOCEAN DROPLET,-15.00
2024-02-07,OPENAI API USAGE,-40.00
2024-02-10,O2 MOBILE UK,-18.00
2024-02-14,AMAZON WEB SERVICES,-65.00
2024-02-27,TRANSFER TO SAVINGS,-600.00
2024-03-05,CLOUDBRIDGE AGENCY PAYMENT,4000.00
2024-03-02,GITHUB SUBSCRIPTION,-4.00
2024-03-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-03-05,DIGITALOCEAN DROPLET,-15.00
2024-03-07,OPENAI API USAGE,-45.00
2024-03-10,O2 MOBILE UK,-18.00
2024-03-14,AMAZON WEB SERVICES,-68.00
2024-03-15,HMRC SELF ASSESSMENT,-2100.00
2024-03-22,SAGEACCOUNTING.COM,-15.00
2024-03-27,TRANSFER TO SAVINGS,-450.00
2024-04-05,CLOUDBRIDGE AGENCY PAYMENT,4200.00
2024-04-10,TECHFLOW SOLUTIONS INVOICE,2600.00
2024-04-02,GITHUB SUBSCRIPTION,-4.00
2024-04-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-04-05,DIGITALOCEAN DROPLET,-15.00
2024-04-07,OPENAI API USAGE,-45.00
2024-04-10,O2 MOBILE UK,-18.00
2024-04-14,AMAZON WEB SERVICES,-70.00
2024-04-27,TRANSFER TO SAVINGS,-600.00
2024-05-05,CLOUDBRIDGE AGENCY PAYMENT,4200.00
2024-05-02,GITHUB SUBSCRIPTION,-4.00
2024-05-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-05-05,DIGITALOCEAN DROPLET,-15.00
2024-05-07,OPENAI API USAGE,-45.00
2024-05-10,O2 MOBILE UK,-18.00
2024-05-14,AMAZON WEB SERVICES,-72.00
2024-05-27,TRANSFER TO SAVINGS,-500.00
2024-06-05,CLOUDBRIDGE AGENCY PAYMENT,4200.00
2024-06-10,TECHFLOW SOLUTIONS INVOICE,2800.00
2024-06-02,GITHUB SUBSCRIPTION,-4.00
2024-06-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-06-05,DIGITALOCEAN DROPLET,-15.00
2024-06-07,OPENAI API USAGE,-50.00
2024-06-10,O2 MOBILE UK,-18.00
2024-06-14,AMAZON WEB SERVICES,-75.00
2024-06-15,HMRC SELF ASSESSMENT,-1100.00
2024-06-22,SAGEACCOUNTING.COM,-15.00
2024-06-27,TRANSFER TO SAVINGS,-650.00
2024-07-05,CLOUDBRIDGE AGENCY PAYMENT,4200.00
2024-07-02,GITHUB SUBSCRIPTION,-4.00
2024-07-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-07-05,DIGITALOCEAN DROPLET,-15.00
2024-07-07,OPENAI API USAGE,-50.00
2024-07-10,O2 MOBILE UK,-18.00
2024-07-14,AMAZON WEB SERVICES,-78.00
2024-07-27,TRANSFER TO SAVINGS,-500.00
2024-08-05,CLOUDBRIDGE AGENCY PAYMENT,4200.00
2024-08-10,TECHFLOW SOLUTIONS INVOICE,2800.00
2024-08-02,GITHUB SUBSCRIPTION,-4.00
2024-08-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-08-05,DIGITALOCEAN DROPLET,-15.00
2024-08-07,OPENAI API USAGE,-50.00
2024-08-10,O2 MOBILE UK,-18.00
2024-08-14,AMAZON WEB SERVICES,-80.00
2024-08-27,TRANSFER TO SAVINGS,-650.00
2024-09-05,CLOUDBRIDGE AGENCY PAYMENT,4400.00
2024-09-02,GITHUB SUBSCRIPTION,-4.00
2024-09-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-09-05,DIGITALOCEAN DROPLET,-15.00
2024-09-07,OPENAI API USAGE,-55.00
2024-09-10,O2 MOBILE UK,-18.00
2024-09-14,AMAZON WEB SERVICES,-82.00
2024-09-15,HMRC SELF ASSESSMENT,-1100.00
2024-09-22,SAGEACCOUNTING.COM,-15.00
2024-09-27,TRANSFER TO SAVINGS,-550.00
2024-10-05,CLOUDBRIDGE AGENCY PAYMENT,4400.00
2024-10-10,TECHFLOW SOLUTIONS INVOICE,2800.00
2024-10-02,GITHUB SUBSCRIPTION,-4.00
2024-10-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-10-05,DIGITALOCEAN DROPLET,-15.00
2024-10-07,OPENAI API USAGE,-55.00
2024-10-10,O2 MOBILE UK,-18.00
2024-10-14,AMAZON WEB SERVICES,-82.00
2024-10-27,TRANSFER TO SAVINGS,-700.00
2024-11-05,CLOUDBRIDGE AGENCY PAYMENT,4400.00
2024-11-02,GITHUB SUBSCRIPTION,-4.00
2024-11-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-11-05,DIGITALOCEAN DROPLET,-15.00
2024-11-07,OPENAI API USAGE,-55.00
2024-11-10,O2 MOBILE UK,-18.00
2024-11-14,AMAZON WEB SERVICES,-85.00
2024-11-27,TRANSFER TO SAVINGS,-600.00
2024-12-05,CLOUDBRIDGE AGENCY PAYMENT,4400.00
2024-12-10,TECHFLOW SOLUTIONS INVOICE,2800.00
2024-12-02,GITHUB SUBSCRIPTION,-4.00
2024-12-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2024-12-05,DIGITALOCEAN DROPLET,-15.00
2024-12-07,OPENAI API USAGE,-55.00
2024-12-10,O2 MOBILE UK,-18.00
2024-12-14,AMAZON WEB SERVICES,-88.00
2024-12-15,HMRC SELF ASSESSMENT,-2300.00
2024-12-22,SAGEACCOUNTING.COM,-15.00
2024-12-27,TRANSFER TO SAVINGS,-700.00
2025-01-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-01-02,GITHUB SUBSCRIPTION,-4.00
2025-01-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-01-05,DIGITALOCEAN DROPLET,-18.00
2025-01-07,OPENAI API USAGE,-60.00
2025-01-10,O2 MOBILE UK,-20.00
2025-01-14,AMAZON WEB SERVICES,-90.00
2025-01-27,TRANSFER TO SAVINGS,-650.00
2025-02-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-02-10,TECHFLOW SOLUTIONS INVOICE,3000.00
2025-02-02,GITHUB SUBSCRIPTION,-4.00
2025-02-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-02-05,DIGITALOCEAN DROPLET,-18.00
2025-02-07,OPENAI API USAGE,-60.00
2025-02-10,O2 MOBILE UK,-20.00
2025-02-14,AMAZON WEB SERVICES,-92.00
2025-02-27,TRANSFER TO SAVINGS,-750.00
2025-03-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-03-02,GITHUB SUBSCRIPTION,-4.00
2025-03-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-03-05,DIGITALOCEAN DROPLET,-18.00
2025-03-07,OPENAI API USAGE,-65.00
2025-03-10,O2 MOBILE UK,-20.00
2025-03-14,AMAZON WEB SERVICES,-95.00
2025-03-15,HMRC SELF ASSESSMENT,-2200.00
2025-03-22,SAGEACCOUNTING.COM,-15.00
2025-03-27,TRANSFER TO SAVINGS,-600.00
2025-04-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-04-10,TECHFLOW SOLUTIONS INVOICE,3000.00
2025-04-02,GITHUB SUBSCRIPTION,-4.00
2025-04-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-04-05,DIGITALOCEAN DROPLET,-18.00
2025-04-07,OPENAI API USAGE,-65.00
2025-04-10,O2 MOBILE UK,-20.00
2025-04-14,AMAZON WEB SERVICES,-98.00
2025-04-27,TRANSFER TO SAVINGS,-800.00
2025-05-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-05-02,GITHUB SUBSCRIPTION,-4.00
2025-05-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-05-05,DIGITALOCEAN DROPLET,-18.00
2025-05-07,OPENAI API USAGE,-70.00
2025-05-10,O2 MOBILE UK,-20.00
2025-05-14,AMAZON WEB SERVICES,-100.00
2025-05-27,TRANSFER TO SAVINGS,-700.00
2025-06-05,CLOUDBRIDGE AGENCY PAYMENT,4600.00
2025-06-10,TECHFLOW SOLUTIONS INVOICE,3000.00
2025-06-02,GITHUB SUBSCRIPTION,-4.00
2025-06-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-06-05,DIGITALOCEAN DROPLET,-18.00
2025-06-07,OPENAI API USAGE,-70.00
2025-06-10,O2 MOBILE UK,-20.00
2025-06-14,AMAZON WEB SERVICES,-105.00
2025-06-15,HMRC SELF ASSESSMENT,-1200.00
2025-06-22,SAGEACCOUNTING.COM,-15.00
2025-06-27,TRANSFER TO SAVINGS,-800.00
2025-07-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-07-02,GITHUB SUBSCRIPTION,-4.00
2025-07-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-07-05,DIGITALOCEAN DROPLET,-18.00
2025-07-07,OPENAI API USAGE,-70.00
2025-07-10,O2 MOBILE UK,-20.00
2025-07-14,AMAZON WEB SERVICES,-108.00
2025-07-27,TRANSFER TO SAVINGS,-750.00
2025-08-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-08-10,TECHFLOW SOLUTIONS INVOICE,3200.00
2025-08-02,GITHUB SUBSCRIPTION,-4.00
2025-08-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-08-05,DIGITALOCEAN DROPLET,-18.00
2025-08-07,OPENAI API USAGE,-75.00
2025-08-10,O2 MOBILE UK,-20.00
2025-08-14,AMAZON WEB SERVICES,-112.00
2025-08-27,TRANSFER TO SAVINGS,-900.00
2025-09-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-09-02,GITHUB SUBSCRIPTION,-4.00
2025-09-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-09-05,DIGITALOCEAN DROPLET,-18.00
2025-09-07,OPENAI API USAGE,-75.00
2025-09-10,O2 MOBILE UK,-20.00
2025-09-14,AMAZON WEB SERVICES,-115.00
2025-09-15,HMRC SELF ASSESSMENT,-1200.00
2025-09-22,SAGEACCOUNTING.COM,-15.00
2025-09-27,TRANSFER TO SAVINGS,-800.00
2025-10-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-10-10,TECHFLOW SOLUTIONS INVOICE,3200.00
2025-10-02,GITHUB SUBSCRIPTION,-4.00
2025-10-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-10-05,DIGITALOCEAN DROPLET,-18.00
2025-10-07,OPENAI API USAGE,-80.00
2025-10-10,O2 MOBILE UK,-20.00
2025-10-14,AMAZON WEB SERVICES,-118.00
2025-10-27,TRANSFER TO SAVINGS,-900.00
2025-11-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-11-02,GITHUB SUBSCRIPTION,-4.00
2025-11-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-11-05,DIGITALOCEAN DROPLET,-18.00
2025-11-07,OPENAI API USAGE,-80.00
2025-11-10,O2 MOBILE UK,-20.00
2025-11-14,AMAZON WEB SERVICES,-120.00
2025-11-27,TRANSFER TO SAVINGS,-800.00
2025-12-05,CLOUDBRIDGE AGENCY PAYMENT,4800.00
2025-12-10,TECHFLOW SOLUTIONS INVOICE,3200.00
2025-12-02,GITHUB SUBSCRIPTION,-4.00
2025-12-03,JETBRAINS ALL PRODUCTS PACK,-26.90
2025-12-05,DIGITALOCEAN DROPLET,-18.00
2025-12-07,OPENAI API USAGE,-80.00
2025-12-10,O2 MOBILE UK,-20.00
2025-12-14,AMAZON WEB SERVICES,-122.00
2025-12-15,HMRC SELF ASSESSMENT,-2500.00
2025-12-22,SAGEACCOUNTING.COM,-15.00
2025-12-27,TRANSFER TO SAVINGS,-900.00
