date,description,amount
2023-09-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-09-05,DROPBOX BUSINESS,-15.00
2023-09-10,FREE MOBILE,-19.99
2023-09-12,FNAC MATERIEL PHOTO,-560.00
2023-09-15,URSSAF COTISATIONS SOCIALES,-1600.00
2023-09-22,CABINET PHOTO EXPERTISE,-120.00
2023-09-27,VIREMENT EPARGNE,-400.00
2023-10-08,STUDIO LUMIERE MARIAGE,3000.00
2023-10-16,CORTEX CORPORATE EVENTS,4500.00
2023-10-24,AGENCE PRESSE LUMINOS,1600.00
2023-10-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-10-05,DROPBOX BUSINESS,-15.00
2023-10-10,FREE MOBILE,-19.99
2023-10-27,VIREMENT EPARGNE,-600.00
2023-11-11,STUDIO LUMIERE MARIAGE,3000.00
2023-11-22,MAGAZINE MODE ECLAT,2000.00
2023-11-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-11-05,DROPBOX BUSINESS,-15.00
2023-11-10,FREE MOBILE,-19.99
2023-11-27,VIREMENT EPARGNE,-400.00
2023-12-05,CORTEX CORPORATE EVENTS,5000.00
2023-12-18,AGENCE PRESSE LUMINOS,1600.00
2023-12-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-12-05,DROPBOX BUSINESS,-15.00
2023-12-10,FREE MOBILE,-19.99
2023-12-15,URSSAF COTISATIONS SOCIALES,-1800.00
2023-12-22,CABINET PHOTO EXPERTISE,-120.00
2023-12-27,VIREMENT EPARGNE,-500.00
2024-01-18,STUDIO LUMIERE MARIAGE,3000.00
2024-01-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-01-05,DROPBOX BUSINESS,-15.00
2024-01-10,FREE MOBILE,-19.99
2024-01-15,FNAC MATERIEL PHOTO,-290.00
2024-01-27,VIREMENT EPARGNE,-200.00
2024-02-14,CORTEX CORPORATE EVENTS,4500.00
2024-02-26,MAGAZINE MODE ECLAT,2200.00
2024-02-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-02-05,DROPBOX BUSINESS,-15.00
2024-02-10,FREE MOBILE,-19.99
2024-02-27,VIREMENT EPARGNE,-500.00
2024-03-09,STUDIO LUMIERE MARIAGE,3500.00
2024-03-22,STUDIO LUMIERE MARIAGE,3200.00
2024-03-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-03-05,DROPBOX BUSINESS,-15.00
2024-03-10,FREE MOBILE,-19.99
2024-03-15,URSSAF COTISATIONS SOCIALES,-1600.00
2024-03-22,CABINET PHOTO EXPERTISE,-120.00
2024-03-27,VIREMENT EPARGNE,-500.00
2024-04-06,AGENCE PRESSE LUMINOS,1800.00
2024-04-13,STUDIO LUMIERE MARIAGE,3500.00
2024-04-20,CORTEX CORPORATE EVENTS,5000.00
2024-04-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-04-05,DROPBOX BUSINESS,-15.00
2024-04-10,FREE MOBILE,-19.99
2024-04-27,VIREMENT EPARGNE,-800.00
2024-05-11,STUDIO LUMIERE MARIAGE,3800.00
2024-05-18,STUDIO LUMIERE MARIAGE,3800.00
2024-05-25,MAGAZINE MODE ECLAT,2400.00
2024-05-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-05-05,DROPBOX BUSINESS,-15.00
2024-05-10,FREE MOBILE,-19.99
2024-05-27,VIREMENT EPARGNE,-900.00
2024-06-08,STUDIO LUMIERE MARIAGE,3800.00
2024-06-15,CORTEX CORPORATE EVENTS,5000.00
2024-06-22,STUDIO LUMIERE MARIAGE,3500.00
2024-06-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-06-05,DROPBOX BUSINESS,-15.00
2024-06-10,FREE MOBILE,-19.99
2024-06-14,FNAC MATERIEL PHOTO,-640.00
2024-06-15,URSSAF COTISATIONS SOCIALES,-2000.00
2024-06-22,CABINET PHOTO EXPERTISE,-120.00
2024-06-27,VIREMENT EPARGNE,-900.00
2024-07-07,STUDIO LUMIERE MARIAGE,3500.00
2024-07-19,AGENCE PRESSE LUMINOS,1800.00
2024-07-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-07-05,DROPBOX BUSINESS,-15.00
2024-07-10,FREE MOBILE,-19.99
2024-07-27,VIREMENT EPARGNE,-450.00
2024-08-10,STUDIO LUMIERE MARIAGE,2200.00
2024-08-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-08-05,DROPBOX BUSINESS,-15.00
2024-08-10,FREE MOBILE,-19.99
2024-08-27,VIREMENT EPARGNE,-100.00
2024-09-07,CORTEX CORPORATE EVENTS,5200.00
2024-09-21,MAGAZINE MODE ECLAT,2400.00
2024-09-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-09-05,DROPBOX BUSINESS,-15.00
2024-09-10,FREE MOBILE,-19.99
2024-09-15,URSSAF COTISATIONS SOCIALES,-1800.00
2024-09-22,CABINET PHOTO EXPERTISE,-120.00
2024-09-27,VIREMENT EPARGNE,-500.00
2024-10-05,STUDIO LUMIERE MARIAGE,3500.00
2024-10-14,CORTEX CORPORATE EVENTS,5200.00
2024-10-25,AGENCE PRESSE LUMINOS,2000.00
2024-10-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-10-05,DROPBOX BUSINESS,-15.00
2024-10-10,FREE MOBILE,-19.99
2024-10-12,FNAC MATERIEL PHOTO,-420.00
2024-10-27,VIREMENT EPARGNE,-750.00
2024-11-09,STUDIO LUMIERE MARIAGE,3500.00
2024-11-21,MAGAZINE MODE ECLAT,2400.00
2024-11-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-11-05,DROPBOX BUSINESS,-15.00
2024-11-10,FREE MOBILE,-19.99
2024-11-27,VIREMENT EPARGNE,-500.00
2024-12-06,CORTEX CORPORATE EVENTS,6000.00
2024-12-17,AGENCE PRESSE LUMINOS,2000.00
2024-12-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2024-12-05,DROPBOX BUSINESS,-15.00
2024-12-10,FREE MOBILE,-19.99
2024-12-15,URSSAF COTISATIONS SOCIALES,-2000.00
2024-12-22,CABINET PHOTO EXPERTISE,-120.00
2024-12-27,VIREMENT EPARGNE,-700.00
2025-01-16,STUDIO LUMIERE MARIAGE,3200.00
2025-01-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-01-05,DROPBOX BUSINESS,-15.00
2025-01-10,FREE MOBILE,-19.99
2025-01-27,VIREMENT EPARGNE,-250.00
2025-02-12,CORTEX CORPORATE EVENTS,5500.00
2025-02-24,MAGAZINE MODE ECLAT,2600.00
2025-02-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-02-05,DROPBOX BUSINESS,-15.00
2025-02-10,FREE MOBILE,-19.99
2025-02-14,FNAC MATERIEL PHOTO,-850.00
2025-02-27,VIREMENT EPARGNE,-550.00
2025-03-08,STUDIO LUMIERE MARIAGE,3800.00
2025-03-20,STUDIO LUMIERE MARIAGE,3500.00
2025-03-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-03-05,DROPBOX BUSINESS,-15.00
2025-03-10,FREE MOBILE,-19.99
2025-03-15,URSSAF COTISATIONS SOCIALES,-1900.00
2025-03-22,CABINET PHOTO EXPERTISE,-120.00
2025-03-27,VIREMENT EPARGNE,-600.00
2025-04-05,AGENCE PRESSE LUMINOS,2000.00
2025-04-12,STUDIO LUMIERE MARIAGE,3800.00
2025-04-19,CORTEX CORPORATE EVENTS,5500.00
2025-04-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-04-05,DROPBOX BUSINESS,-15.00
2025-04-10,FREE MOBILE,-19.99
2025-04-27,VIREMENT EPARGNE,-900.00
2025-05-10,STUDIO LUMIERE MARIAGE,4000.00
2025-05-17,STUDIO LUMIERE MARIAGE,4000.00
2025-05-24,MAGAZINE MODE ECLAT,2800.00
2025-05-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-05-05,DROPBOX BUSINESS,-15.00
2025-05-10,FREE MOBILE,-19.99
2025-05-27,VIREMENT EPARGNE,-1000.00
2025-06-07,STUDIO LUMIERE MARIAGE,4000.00
2025-06-14,CORTEX CORPORATE EVENTS,5800.00
2025-06-21,STUDIO LUMIERE MARIAGE,3800.00
2025-06-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-06-05,DROPBOX BUSINESS,-15.00
2025-06-10,FREE MOBILE,-19.99
2025-06-15,URSSAF COTISATIONS SOCIALES,-2200.00
2025-06-22,CABINET PHOTO EXPERTISE,-120.00
2025-06-27,VIREMENT EPARGNE,-1000.00
2025-07-05,STUDIO LUMIERE MARIAGE,3800.00
2025-07-18,AGENCE PRESSE LUMINOS,2200.00
2025-07-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-07-05,DROPBOX BUSINESS,-15.00
2025-07-10,FREE MOBILE,-19.99
2025-07-27,VIREMENT EPARGNE,-550.00
2025-08-14,STUDIO LUMIERE MARIAGE,2500.00
2025-08-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-08-05,DROPBOX BUSINESS,-15.00
2025-08-10,FREE MOBILE,-19.99
2025-08-27,VIREMENT EPARGNE,-150.00
2025-09-06,CORTEX CORPORATE EVENTS,6000.00
2025-09-20,MAGAZINE MODE ECLAT,2800.00
2025-09-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-09-05,DROPBOX BUSINESS,-15.00
2025-09-10,FREE MOBILE,-19.99
2025-09-15,URSSAF COTISATIONS SOCIALES,-2000.00
2025-09-22,CABINET PHOTO EXPERTISE,-120.00
2025-09-27,VIREMENT EPARGNE,-600.00
2025-10-04,STUDIO LUMIERE MARIAGE,4000.00
2025-10-13,CORTEX CORPORATE EVENTS,6000.00
2025-10-24,AGENCE PRESSE LUMINOS,2200.00
2025-10-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-10-05,DROPBOX BUSINESS,-15.00
2025-10-08,FNAC MATERIEL PHOTO,-480.00
2025-10-10,FREE MOBILE,-19.99
2025-10-27,VIREMENT EPARGNE,-900.00
2025-11-08,STUDIO LUMIERE MARIAGE,4000.00
2025-11-20,MAGAZINE MODE ECLAT,2800.00
2025-11-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-11-05,DROPBOX BUSINESS,-15.00
2025-11-10,FREE MOBILE,-19.99
2025-11-27,VIREMENT EPARGNE,-700.00
2025-12-06,CORTEX CORPORATE EVENTS,6500.00
2025-12-16,AGENCE PRESSE LUMINOS,2200.00
2025-12-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2025-12-05,DROPBOX BUSINESS,-15.00
2025-12-10,FREE MOBILE,-19.99
2025-12-15,URSSAF COTISATIONS SOCIALES,-2200.00
2025-12-22,CABINET PHOTO EXPERTISE,-120.00
2025-12-27,VIREMENT EPARGNE,-800.00
