date,description,amount
2023-11-10,MERIDIAN PARTNERS CONSULTING,5000.00
2023-11-02,MICROSOFT 365,-12.50
2023-11-05,LINKEDIN PREMIUM,-39.99
2023-11-10,ORANGE MOBILE,-35.00
2023-11-15,NOTION LABS,-16.00
2023-11-20,VELIB MENSUEL,-37.00
2023-11-27,VIREMENT EPARGNE,-600.00
2023-12-08,ATLAS STRATEGY GROUP,7000.00
2023-12-18,VERTEX CAPITAL ADVISORY,3500.00
2023-12-02,MICROSOFT 365,-12.50
2023-12-05,LINKEDIN PREMIUM,-39.99
2023-12-10,ORANGE MOBILE,-35.00
2023-12-15,NOTION LABS,-16.00
2023-12-15,URSSAF COTISATIONS SOCIALES,-2700.00
2023-12-20,VELIB MENSUEL,-37.00
2023-12-25,CABINET DUMONT COMPTABILITE,-200.00
2023-12-27,VIREMENT EPARGNE,-900.00
2024-01-14,MERIDIAN PARTNERS CONSULTING,5500.00
2024-01-24,NOVA CONSEIL SARL,5500.00
2024-01-02,MICROSOFT 365,-12.50
2024-01-05,LINKEDIN PREMIUM,-39.99
2024-01-10,ORANGE MOBILE,-35.00
2024-01-15,NOTION LABS,-16.00
2024-01-20,VELIB MENSUEL,-37.00
2024-01-27,VIREMENT EPARGNE,-900.00
2024-02-12,ATLAS STRATEGY GROUP,7000.00
2024-02-02,MICROSOFT 365,-12.50
2024-02-05,LINKEDIN PREMIUM,-39.99
2024-02-10,ORANGE MOBILE,-35.00
2024-02-15,NOTION LABS,-16.00
2024-02-20,VELIB MENSUEL,-37.00
2024-02-27,VIREMENT EPARGNE,-800.00
2024-03-10,MERIDIAN PARTNERS CONSULTING,5500.00
2024-03-20,VERTEX CAPITAL ADVISORY,4000.00
2024-03-02,MICROSOFT 365,-12.50
2024-03-05,LINKEDIN PREMIUM,-39.99
2024-03-10,ORANGE MOBILE,-35.00
2024-03-15,NOTION LABS,-16.00
2024-03-15,URSSAF COTISATIONS SOCIALES,-2900.00
2024-03-20,VELIB MENSUEL,-37.00
2024-03-25,CABINET DUMONT COMPTABILITE,-200.00
2024-03-27,VIREMENT EPARGNE,-800.00
2024-04-18,ATLAS STRATEGY GROUP,8000.00
2024-04-26,NOVA CONSEIL SARL,5500.00
2024-04-02,MICROSOFT 365,-12.50
2024-04-05,LINKEDIN PREMIUM,-39.99
2024-04-10,ORANGE MOBILE,-35.00
2024-04-15,NOTION LABS,-16.00
2024-04-20,VELIB MENSUEL,-37.00
2024-04-27,VIREMENT EPARGNE,-1000.00
2024-05-14,MERIDIAN PARTNERS CONSULTING,5500.00
2024-05-02,MICROSOFT 365,-12.50
2024-05-05,LINKEDIN PREMIUM,-39.99
2024-05-10,ORANGE MOBILE,-35.00
2024-05-15,NOTION LABS,-16.00
2024-05-20,VELIB MENSUEL,-37.00
2024-05-22,SNCF BILLET TGV,-128.00
2024-05-27,VIREMENT EPARGNE,-600.00
2024-06-11,ATLAS STRATEGY GROUP,7500.00
2024-06-25,VERTEX CAPITAL ADVISORY,4000.00
2024-06-02,MICROSOFT 365,-12.50
2024-06-05,LINKEDIN PREMIUM,-39.99
2024-06-10,ORANGE MOBILE,-35.00
2024-06-15,NOTION LABS,-16.00
2024-06-15,URSSAF COTISATIONS SOCIALES,-3000.00
2024-06-20,VELIB MENSUEL,-37.00
2024-06-25,CABINET DUMONT COMPTABILITE,-200.00
2024-06-27,VIREMENT EPARGNE,-1000.00
2024-07-16,MERIDIAN PARTNERS CONSULTING,6000.00
2024-07-02,MICROSOFT 365,-12.50
2024-07-05,LINKEDIN PREMIUM,-39.99
2024-07-10,ORANGE MOBILE,-35.00
2024-07-15,NOTION LABS,-16.00
2024-07-20,VELIB MENSUEL,-37.00
2024-07-27,VIREMENT EPARGNE,-650.00
2024-08-20,NOVA CONSEIL SARL,6000.00
2024-08-02,MICROSOFT 365,-12.50
2024-08-05,LINKEDIN PREMIUM,-39.99
2024-08-10,ORANGE MOBILE,-35.00
2024-08-15,NOTION LABS,-16.00
2024-08-20,VELIB MENSUEL,-37.00
2024-08-27,VIREMENT EPARGNE,-650.00
2024-09-12,MERIDIAN PARTNERS CONSULTING,6000.00
2024-09-22,ATLAS STRATEGY GROUP,8000.00
2024-09-02,MICROSOFT 365,-12.50
2024-09-05,LINKEDIN PREMIUM,-39.99
2024-09-10,ORANGE MOBILE,-35.00
2024-09-15,NOTION LABS,-16.00
2024-09-15,URSSAF COTISATIONS SOCIALES,-3200.00
2024-09-20,VELIB MENSUEL,-37.00
2024-09-25,CABINET DUMONT COMPTABILITE,-200.00
2024-09-27,VIREMENT EPARGNE,-1100.00
2024-10-14,VERTEX CAPITAL ADVISORY,4500.00
2024-10-24,NOVA CONSEIL SARL,6000.00
2024-10-02,MICROSOFT 365,-12.50
2024-10-05,LINKEDIN PREMIUM,-39.99
2024-10-10,ORANGE MOBILE,-35.00
2024-10-15,NOTION LABS,-16.00
2024-10-20,VELIB MENSUEL,-37.00
2024-10-27,VIREMENT EPARGNE,-1000.00
2024-11-11,MERIDIAN PARTNERS CONSULTING,6000.00
2024-11-02,MICROSOFT 365,-12.50
2024-11-05,LINKEDIN PREMIUM,-39.99
2024-11-10,ORANGE MOBILE,-35.00
2024-11-15,NOTION LABS,-16.00
2024-11-20,VELIB MENSUEL,-37.00
2024-11-27,VIREMENT EPARGNE,-750.00
2024-12-09,ATLAS STRATEGY GROUP,8000.00
2024-12-19,VERTEX CAPITAL ADVISORY,4500.00
2024-12-02,MICROSOFT 365,-12.50
2024-12-05,LINKEDIN PREMIUM,-39.99
2024-12-10,ORANGE MOBILE,-35.00
2024-12-15,NOTION LABS,-16.00
2024-12-15,URSSAF COTISATIONS SOCIALES,-3400.00
2024-12-20,VELIB MENSUEL,-37.00
2024-12-25,CABINET DUMONT COMPTABILITE,-200.00
2024-12-27,VIREMENT EPARGNE,-1200.00
2025-01-14,MERIDIAN PARTNERS CONSULTING,6500.00
2025-01-24,NOVA CONSEIL SARL,6500.00
2025-01-02,MICROSOFT 365,-12.50
2025-01-05,LINKEDIN PREMIUM,-39.99
2025-01-10,ORANGE MOBILE,-35.00
2025-01-15,NOTION LABS,-16.00
2025-01-20,VELIB MENSUEL,-37.00
2025-01-27,VIREMENT EPARGNE,-1100.00
2025-02-12,ATLAS STRATEGY GROUP,9000.00
2025-02-02,MICROSOFT 365,-12.50
2025-02-05,LINKEDIN PREMIUM,-39.99
2025-02-10,ORANGE MOBILE,-35.00
2025-02-15,NOTION LABS,-16.00
2025-02-20,VELIB MENSUEL,-37.00
2025-02-27,VIREMENT EPARGNE,-1000.00
2025-03-10,MERIDIAN PARTNERS CONSULTING,6500.00
2025-03-22,VERTEX CAPITAL ADVISORY,4800.00
2025-03-02,MICROSOFT 365,-12.50
2025-03-05,LINKEDIN PREMIUM,-39.99
2025-03-10,ORANGE MOBILE,-35.00
2025-03-15,NOTION LABS,-16.00
2025-03-15,URSSAF COTISATIONS SOCIALES,-3600.00
2025-03-20,VELIB MENSUEL,-37.00
2025-03-25,CABINET DUMONT COMPTABILITE,-200.00
2025-03-27,VIREMENT EPARGNE,-1000.00
2025-04-16,ATLAS STRATEGY GROUP,9000.00
2025-04-26,NOVA CONSEIL SARL,6500.00
2025-04-02,MICROSOFT 365,-12.50
2025-04-05,LINKEDIN PREMIUM,-39.99
2025-04-10,ORANGE MOBILE,-35.00
2025-04-15,NOTION LABS,-16.00
2025-04-20,VELIB MENSUEL,-37.00
2025-04-27,VIREMENT EPARGNE,-1300.00
2025-05-13,MERIDIAN PARTNERS CONSULTING,6500.00
2025-05-02,MICROSOFT 365,-12.50
2025-05-05,LINKEDIN PREMIUM,-39.99
2025-05-10,ORANGE MOBILE,-35.00
2025-05-15,NOTION LABS,-16.00
2025-05-20,VELIB MENSUEL,-37.00
2025-05-24,SNCF BILLET TGV,-145.00
2025-05-27,VIREMENT EPARGNE,-800.00
2025-06-11,ATLAS STRATEGY GROUP,8500.00
2025-06-25,VERTEX CAPITAL ADVISORY,4800.00
2025-06-02,MICROSOFT 365,-12.50
2025-06-05,LINKEDIN PREMIUM,-39.99
2025-06-10,ORANGE MOBILE,-35.00
2025-06-15,NOTION LABS,-16.00
2025-06-15,URSSAF COTISATIONS SOCIALES,-3700.00
2025-06-20,VELIB MENSUEL,-37.00
2025-06-25,CABINET DUMONT COMPTABILITE,-200.00
2025-06-27,VIREMENT EPARGNE,-1100.00
2025-07-17,MERIDIAN PARTNERS CONSULTING,7000.00
2025-07-02,MICROSOFT 365,-12.50
2025-07-05,LINKEDIN PREMIUM,-39.99
2025-07-10,ORANGE MOBILE,-35.00
2025-07-15,NOTION LABS,-16.00
2025-07-20,VELIB MENSUEL,-37.00
2025-07-27,VIREMENT EPARGNE,-800.00
2025-08-22,NOVA CONSEIL SARL,7000.00
2025-08-02,MICROSOFT 365,-12.50
2025-08-05,LINKEDIN PREMIUM,-39.99
2025-08-10,ORANGE MOBILE,-35.00
2025-08-15,NOTION LABS,-16.00
2025-08-20,VELIB MENSUEL,-37.00
2025-08-27,VIREMENT EPARGNE,-800.00
2025-09-11,MERIDIAN PARTNERS CONSULTING,7000.00
2025-09-23,ATLAS STRATEGY GROUP,9000.00
2025-09-02,MICROSOFT 365,-12.50
2025-09-05,LINKEDIN PREMIUM,-39.99
2025-09-10,ORANGE MOBILE,-35.00
2025-09-15,NOTION LABS,-16.00
2025-09-15,URSSAF COTISATIONS SOCIALES,-3900.00
2025-09-20,VELIB MENSUEL,-37.00
2025-09-25,CABINET DUMONT COMPTABILITE,-200.00
2025-09-27,VIREMENT EPARGNE,-1200.00
2025-10-15,VERTEX CAPITAL ADVISORY,5000.00
2025-10-25,NOVA CONSEIL SARL,7000.00
2025-10-02,MICROSOFT 365,-12.50
2025-10-05,LINKEDIN PREMIUM,-39.99
2025-10-10,ORANGE MOBILE,-35.00
2025-10-15,NOTION LABS,-16.00
2025-10-20,VELIB MENSUEL,-37.00
2025-10-27,VIREMENT EPARGNE,-1100.00
2025-11-13,MERIDIAN PARTNERS CONSULTING,7000.00
2025-11-02,MICROSOFT 365,-12.50
2025-11-05,LINKEDIN PREMIUM,-39.99
2025-11-10,ORANGE MOBILE,-35.00
2025-11-15,NOTION LABS,-16.00
2025-11-20,VELIB MENSUEL,-37.00
2025-11-27,VIREMENT EPARGNE,-900.00
2025-12-10,ATLAS STRATEGY GROUP,9500.00
2025-12-20,VERTEX CAPITAL ADVISORY,5000.00
2025-12-02,MICROSOFT 365,-12.50
2025-12-05,LINKEDIN PREMIUM,-39.99
2025-12-10,ORANGE MOBILE,-35.00
2025-12-15,NOTION LABS,-16.00
2025-12-15,URSSAF COTISATIONS SOCIALES,-4100.00
2025-12-20,VELIB MENSUEL,-37.00
2025-12-25,CABINET DUMONT COMPTABILITE,-200.00
2025-12-27,VIREMENT EPARGNE,-1400.00
