date,description,amount
2024-12-15,URSSAF COTISATIONS SOCIALES,-1280.00
2024-12-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2024-12-27,VIREMENT EPARGNE,-400.00
2025-01-08,NEXO STARTUP VIREMENT,3200.00
2025-01-15,NOVA DIGITAL PAIEMENT,1400.00
2025-01-01,RATP NAVIGO MENSUEL,-95.00
2025-01-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-01-03,NOTION LABS,-8.00
2025-01-04,WEWORK COWORKING,-220.00
2025-01-05,FIGMA INC,-15.00
2025-01-07,OPENAI CHATGPT PLUS,-20.00
2025-01-10,SFR MOBILE,-25.00
2025-01-27,VIREMENT EPARGNE,-450.00
2025-02-08,NEXO STARTUP VIREMENT,3200.00
2025-02-15,NOVA DIGITAL PAIEMENT,1400.00
2025-02-01,RATP NAVIGO MENSUEL,-95.00
2025-02-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-02-03,NOTION LABS,-8.00
2025-02-04,WEWORK COWORKING,-220.00
2025-02-05,FIGMA INC,-15.00
2025-02-07,OPENAI CHATGPT PLUS,-20.00
2025-02-10,SFR MOBILE,-25.00
2025-02-21,SNCF BILLET TGV,-78.00
2025-02-27,VIREMENT EPARGNE,-450.00
2025-03-08,NEXO STARTUP VIREMENT,3200.00
2025-03-15,NOVA DIGITAL PAIEMENT,1400.00
2025-03-01,RATP NAVIGO MENSUEL,-95.00
2025-03-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-03-03,NOTION LABS,-8.00
2025-03-04,WEWORK COWORKING,-220.00
2025-03-05,FIGMA INC,-15.00
2025-03-07,OPENAI CHATGPT PLUS,-20.00
2025-03-10,SFR MOBILE,-25.00
2025-03-15,URSSAF COTISATIONS SOCIALES,-1350.00
2025-03-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2025-03-27,VIREMENT EPARGNE,-450.00
2025-04-08,NEXO STARTUP VIREMENT,3400.00
2025-04-15,NOVA DIGITAL PAIEMENT,1400.00
2025-04-01,RATP NAVIGO MENSUEL,-95.00
2025-04-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-04-03,NOTION LABS,-8.00
2025-04-04,WEWORK COWORKING,-220.00
2025-04-05,FIGMA INC,-15.00
2025-04-07,OPENAI CHATGPT PLUS,-20.00
2025-04-10,SFR MOBILE,-25.00
2025-04-27,VIREMENT EPARGNE,-500.00
2025-05-08,NEXO STARTUP VIREMENT,3400.00
2025-05-15,NOVA DIGITAL PAIEMENT,1400.00
2025-05-01,RATP NAVIGO MENSUEL,-95.00
2025-05-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-05-03,NOTION LABS,-8.00
2025-05-04,WEWORK COWORKING,-220.00
2025-05-05,FIGMA INC,-15.00
2025-05-06,SNCF BILLET TGV,-72.00
2025-05-07,OPENAI CHATGPT PLUS,-20.00
2025-05-10,SFR MOBILE,-25.00
2025-05-27,VIREMENT EPARGNE,-500.00
2025-06-08,NEXO STARTUP VIREMENT,3400.00
2025-06-15,NOVA DIGITAL PAIEMENT,800.00
2025-06-01,RATP NAVIGO MENSUEL,-95.00
2025-06-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-06-03,NOTION LABS,-8.00
2025-06-04,WEWORK COWORKING,-220.00
2025-06-05,FIGMA INC,-15.00
2025-06-07,OPENAI CHATGPT PLUS,-20.00
2025-06-10,SFR MOBILE,-25.00
2025-06-15,URSSAF COTISATIONS SOCIALES,-1400.00
2025-06-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2025-06-27,VIREMENT EPARGNE,-400.00
2025-07-08,NEXO STARTUP VIREMENT,3400.00
2025-07-01,RATP NAVIGO MENSUEL,-95.00
2025-07-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-07-03,NOTION LABS,-8.00
2025-07-04,WEWORK COWORKING,-220.00
2025-07-05,FIGMA INC,-15.00
2025-07-07,OPENAI CHATGPT PLUS,-20.00
2025-07-10,SFR MOBILE,-25.00
2025-07-27,VIREMENT EPARGNE,-350.00
2025-08-08,NEXO STARTUP VIREMENT,2800.00
2025-08-01,RATP NAVIGO MENSUEL,-95.00
2025-08-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-08-03,NOTION LABS,-8.00
2025-08-04,WEWORK COWORKING,-220.00
2025-08-05,FIGMA INC,-15.00
2025-08-07,OPENAI CHATGPT PLUS,-20.00
2025-08-10,SFR MOBILE,-25.00
2025-08-19,SNCF BILLET TGV,-65.00
2025-08-27,VIREMENT EPARGNE,-150.00
2025-09-08,NEXO STARTUP VIREMENT,3400.00
2025-09-01,RATP NAVIGO MENSUEL,-95.00
2025-09-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-09-03,NOTION LABS,-8.00
2025-09-04,WEWORK COWORKING,-220.00
2025-09-05,FIGMA INC,-15.00
2025-09-07,OPENAI CHATGPT PLUS,-20.00
2025-09-10,SFR MOBILE,-25.00
2025-09-15,URSSAF COTISATIONS SOCIALES,-1250.00
2025-09-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2025-09-27,VIREMENT EPARGNE,-350.00
2025-10-08,NEXO STARTUP VIREMENT,3400.00
2025-10-15,NOVA DIGITAL PAIEMENT,800.00
2025-10-01,RATP NAVIGO MENSUEL,-95.00
2025-10-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-10-03,NOTION LABS,-8.00
2025-10-04,WEWORK COWORKING,-220.00
2025-10-05,FIGMA INC,-15.00
2025-10-07,OPENAI CHATGPT PLUS,-20.00
2025-10-10,SFR MOBILE,-25.00
2025-10-27,VIREMENT EPARGNE,-350.00
2025-11-08,NEXO STARTUP VIREMENT,3600.00
2025-11-01,RATP NAVIGO MENSUEL,-95.00
2025-11-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-11-03,NOTION LABS,-8.00
2025-11-04,WEWORK COWORKING,-220.00
2025-11-05,FIGMA INC,-15.00
2025-11-07,OPENAI CHATGPT PLUS,-20.00
2025-11-10,SFR MOBILE,-25.00
2025-11-12,SNCF BILLET TGV,-88.00
2025-11-27,VIREMENT EPARGNE,-350.00
2025-12-08,NEXO STARTUP VIREMENT,3600.00
2025-12-01,RATP NAVIGO MENSUEL,-95.00
2025-12-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2025-12-03,NOTION LABS,-8.00
2025-12-04,WEWORK COWORKING,-220.00
2025-12-05,FIGMA INC,-15.00
2025-12-07,OPENAI CHATGPT PLUS,-20.00
2025-12-10,SFR MOBILE,-25.00
2025-12-15,URSSAF COTISATIONS SOCIALES,-1150.00
2025-12-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2025-12-27,VIREMENT EPARGNE,-350.00
